"id","remarks","created","last_modified","collection_id"
"33e72077-d3f3-47af-86e5-aacdadfbbe53","1 line index.","2018-02-07 16:15:24.183147+00","2018-12-20 14:21:25.869457+00","057e5a3d-5812-4ec4-afcf-e78619023bf8"
"18d76b6c-1923-4609-b5b9-5648fc29e06c","2 Line indexes for Harris 1979

1 line index for Waller Co. 1979","2018-02-07 16:15:56.765717+00","2018-12-20 15:07:15.28739+00","fd4e9209-e6c0-40c4-829c-9ceab4ff64af"
"36f5ef9d-33c4-4fd7-ab5c-1c66927b1861","1 line index","2018-02-07 16:14:36.464363+00","2018-12-20 15:02:44.670275+00","43064bb6-c05d-43f1-865c-3b4ef1de7f4d"
"e32ec074-1b9c-4de3-a21d-e0f5b991c410","","2018-02-07 16:14:42.793411+00","2018-02-07 16:14:42.793401+00","83cd44c0-b6ed-41de-bc6e-356bde2e21fe"
"90fa6964-b049-4466-a2c5-5adc21bd32ad","","2018-02-07 16:14:58.582912+00","2018-02-07 16:14:58.582894+00","0dfc1a8b-3d12-47ab-8422-36b63013f8e6"
"c9c670bf-e1f1-4a00-bf42-54625ef4933a","no line index","2018-02-07 16:16:52.906139+00","2018-12-20 15:22:44.567573+00","ea421c29-63ef-40cc-9c4d-ed5c5882aca9"
"d06b2aeb-7767-420a-88a9-546a30bb041f","1 line index","2018-02-07 16:16:48.714068+00","2018-12-20 15:44:15.157256+00","4ebdbfe3-f8cc-4669-aee1-388b30f71683"
"f3bedf67-806c-4b4c-84b8-e1b4dc6bbc1c","1 Line index for Tarrant 1956. bad shape","2018-02-07 16:14:55.532337+00","2018-12-20 16:49:08.927311+00","393f9cf8-e535-4da3-ba0a-cae7ba2caf8a"
"427a363a-a92f-4c10-be37-88ed81f08230","1 line index","2018-02-07 16:15:23.227058+00","2018-12-20 16:51:51.756555+00","665debc3-989e-465d-98c3-6dbff104dcd6"
"a48033d7-6110-4c0e-abb3-163b0901a8cf","1 line index","2018-02-07 16:16:16.243973+00","2018-12-20 16:56:49.901368+00","0d60a121-e781-41b0-b10d-d87355ae467c"
"07114fd7-967e-447b-827b-ff8951ed6142","no line index","2018-02-07 16:13:26.742737+00","2018-12-20 17:12:52.6364+00","ac696e6e-1f3f-4347-bb32-38a9a477fda2"
"494ba605-645c-40d5-ae40-d1420d18ca24","1 line index","2018-02-07 16:14:26.667521+00","2018-12-20 17:38:50.291706+00","d0be1307-9999-462c-a9d6-4fd9dd2cfbdb"
"566119b2-dafd-446c-8ffc-b0eedd2cd005","no line index","2018-02-07 16:13:14.495864+00","2018-12-20 19:13:45.816749+00","71a0e0db-6195-4d9e-b417-8cb49f702e77"
"247dd0c8-ab92-4d15-84a6-99cbc0d1df74","No line index","2018-02-07 16:16:24.906844+00","2019-01-02 14:04:15.459147+00","34e03d5a-b93a-40f5-8eba-e545157deefd"
"713d9873-48e8-4673-8a72-2e3ad988149e","","2018-02-07 16:17:20.343211+00","2018-02-07 16:17:20.343193+00","e1edce94-f24b-44ea-84e4-b3f8e16f9a12"
"c3622f96-d11a-42b2-bcf8-633454341039","No line index","2018-02-07 16:15:02.29405+00","2019-01-02 14:21:03.204796+00","1ee70f57-3b21-43c5-978c-f296db900e80"
"7104c1c4-0f0f-491a-9017-6d5ba9fa8e54","","2018-02-07 16:17:34.099473+00","2018-02-07 16:17:34.099465+00","768d54be-d4da-4461-9b4c-344df69a46f6"
"0b829e06-c9b5-4893-ba76-f682cdab9727","Has line index

Q:\Historic_Images\Anderson\Index\USDA_1940_LI_1.tif","2018-02-07 16:16:21.646183+00","2019-01-07 20:17:02.863398+00","0bc64bd5-2e45-44a5-9fd6-620341f1bd8d"
"84acd60b-48c3-4132-bf6f-158e09357ed0","1 index present. Around Tyler","2018-02-07 16:14:35.729431+00","2018-04-07 13:30:37.232676+00","414ad571-1ea4-470e-be55-c4881131d539"
"0bd9a54c-ee48-4ac4-b19b-4be4b247f85a","Has line index","2018-02-07 16:17:22.090087+00","2018-11-13 20:15:01.114797+00","5fc75e23-8d8f-41b4-b01a-57c65f1c5d10"
"3bfbf8f6-b60b-48a8-9145-993d80b04536","1 line index for Williamson 1990","2018-02-07 16:13:25.308614+00","2018-04-07 17:00:21.029222+00","441d7a03-9788-4ee9-bf3c-defd7eaf1d95"
"e5cf26e2-19f8-4580-bd8f-2d29f4d648b4","1 line index for Harris 1992","2018-02-07 16:13:16.431748+00","2018-04-07 17:26:22.178127+00","744aa8a6-3f25-42fd-ac2b-6810b19ea5fa"
"9db55928-76f2-48a2-874e-2eda817f716a","1 line index","2018-02-07 16:17:41.110221+00","2018-11-30 21:12:21.674141+00","ed570cd4-3782-4109-a4d4-4470dd01794a"
"cf98dc1d-051b-43ea-90f6-cecd900573d3","1 line index for Bastrop Co: 
Q:\Historic_Images\Bastrop\Index\TXDOT_1981_LI_1.tif","2018-02-07 16:16:39.102905+00","2019-01-07 20:50:15.69074+00","ca2500f1-b1da-4399-81eb-8856a2248628"
"0847e671-0e49-424b-b728-07382003e96d","1 line index for Mason 1948: 
Q:\Historic_Images\Mason\Index\USDA_1948_LI_1.tif","2018-02-07 16:15:42.343458+00","2019-01-07 21:16:58.946467+00","b7e34dc3-0768-4378-9b08-fce1f07e4022"
"a03aaa1f-9d48-4f8a-97f9-fa08b8ee9418","no line index for Galveston Co.

no line index for Harris Co.","2018-02-07 16:14:33.704912+00","2019-01-09 19:37:25.007739+00","016da42a-e83f-4b4e-b560-a6678acb9fd6"
