"id","collection","from_date","to_date","public","remarks","created","last_modified","agency_id","frames_service_url","index_service_url","mosaic_service_url","ls4_link"
"c62670c4-0bb2-4646-8252-7597cbd760d7","360149","1987-04-02","1987-04-28",t,"","2018-02-07 16:18:16.973038+00","2018-11-14 22:59:41.51683+00","7d869597-0e15-4a11-9537-e20bd8ced9f1","","","",""
"af6a9dc3-7c61-4c61-b3a6-fd5047c975d9","CUJ-1941","1941-09-26","1941-10-01",t,"","2018-02-07 16:18:20.844914+00","2018-08-21 22:26:42.428812+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"da52dc67-1e20-46bf-802c-0bbb6bec8f06","CLI-1968","1968-01-24","1969-11-08",t,"contains products from 1968.  Use 1969 photo index for photo location","2018-02-07 16:18:07.943712+00","2018-11-30 20:24:35.379483+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"28e4660e-d5ca-4a2e-b8de-aabb63b36619","DAZ-1953","1953-02-23","1953-02-23",t,"","2018-02-07 16:18:05.635815+00","2018-08-17 20:58:39.942401+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"d20d4fe6-c6e1-4221-891e-6521527d31c5","CRM-1957","1957-03-07","1957-03-09",t,"","2018-02-07 16:18:24.049221+00","2018-12-20 17:18:41.549205+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"0dde22c4-2d09-4b6d-a0d9-baa698a32c09","DFZ-1963","1963-01-14","1963-01-24",t,"","2018-02-07 16:18:13.094219+00","2018-12-19 14:56:57.870977+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"73c4294f-22ca-4a89-9816-041f4842291e","CUU-1979","1979-02-10","1979-02-10",t,"no photo indexes for this collection","2018-02-07 16:18:01.79599+00","2018-08-20 20:25:01.492827+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"a6a59839-a98e-4ade-858e-fb2f917e930a","DCB-1968","1968-01-24","1968-01-24",t,"None
PHOTO INDEX
Rolls 1-4","2018-02-07 16:18:10.127844+00","2018-12-20 14:42:56.726764+00","ff3ae8ed-564f-4531-9849-868fefabb3cb","","","",""
"467e3be2-7281-4d42-a5e9-93ec071eecc6","271582","1975-05-25","1976-02-19",t,"","2018-02-07 16:18:00.127091+00","2018-12-18 15:04:24.130769+00","7d869597-0e15-4a11-9537-e20bd8ced9f1","","","",""
"62113901-087d-4338-96e4-1e1e9c227808","287527","1976-04-20","1976-04-20",t,"Georgetown.  Frames 1-4 and 7-15.  No index","2018-02-07 16:18:26.308498+00","2018-12-21 22:16:20.277403+00","7d869597-0e15-4a11-9537-e20bd8ced9f1","","","",""
