zipped_by_area_type_id,zipped_by_area_type,zipped_by_area_type_name,created,last_modified,orig_data_download_id
5783754a-9a64-4ac3-bb31-728ed0e32c85,qquad,Movie Mountain|SE,2018-07-03 07:58:54.677982,2018-07-03 07:58:54.677983,15687
81854a74-2e1b-486e-97e6-953e68f9b037,qquad,Mud Creek North|SE,2018-07-03 07:58:54.678047,2018-07-03 07:58:54.678048,15688
a7e6875f-53df-4c35-b640-43ebf438e2bf,qquad,Mud Creek North|SW,2018-07-03 07:58:54.678090,2018-07-03 07:58:54.678091,15689
1aa5111f-e483-4a91-a762-15d0259cf755,qquad,Mud Creek North|NW,2018-07-03 07:58:54.678146,2018-07-03 07:58:54.678147,15690
66bf8a6a-beaf-4933-88cf-e0d4b3d03658,qquad,Mud Creek North|NE,2018-07-03 07:58:54.678203,2018-07-03 07:58:54.678204,15691
36025063-3f5e-43ea-a0be-a0a53f83a24a,qquad,Mud Creek South|SE,2018-07-03 07:58:54.678261,2018-07-03 07:58:54.678262,15692
bfa2a2f4-4746-440b-84fc-87594abb24bb,qquad,Mud Creek South|NW,2018-07-03 07:58:54.678303,2018-07-03 07:58:54.678304,15693
f5fb2b00-e377-4608-826b-086c282777de,qquad,Mud Creek South|NE,2018-07-03 07:58:54.678356,2018-07-03 07:58:54.678357,15694
f50564dd-f291-40d0-be2c-4577b387abdb,qquad,Mud Creek South|SW,2018-07-03 07:58:54.678411,2018-07-03 07:58:54.678412,15695
9550fbcb-0d3a-45d2-a643-93a6c528a647,qquad,Mud Lake|NW,2018-07-03 07:58:54.678466,2018-07-03 07:58:54.678467,15696
a47c3a11-ab37-4e26-8008-1e2cf1167ab6,qquad,Mud Lake|NE,2018-07-03 07:58:54.678509,2018-07-03 07:58:54.678510,15697
4d662ddc-be94-4c4c-81f3-e89a552744d3,qquad,Mud Lake|SW,2018-07-03 07:58:54.678565,2018-07-03 07:58:54.678566,15698
